track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,stream_percentage,spotify_percentage,more_than_10M_streams,three_or_more_artist,Summer,top10_more_in_spotify_than_apple
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,2023-07-14,3.817108751067175,92.78523489932886,True,False,True,False
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,2023-03-23,3.610153185457111,96.84625492772668,True,False,False,False
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,2023-06-30,3.7799119900230735,93.69550637156271,True,False,True,False
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,2019-08-23,21.621584872142087,98.54527213443693,True,False,True,True
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,2023-05-18,8.18695767406072,97.38887161952128,True,False,False,True
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,2023-06-01,4.959812044610851,97.02618730581447,True,False,False,False
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,2023-03-16,19.600450269126604,98.91165172855314,True,False,False,False
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,2023-07-07,1.5699520866070842,96.617050067659,True,False,True,False
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,2023-05-15,2.5707346751907476,94.80968858131487,True,False,False,False
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,2023-03-17,14.947347479854663,98.36775483011326,True,False,False,True
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,2023-04-17,13.652423405555684,98.59444634898868,True,False,False,True
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,2023-07-07,1.5728077830533058,91.93899782135077,True,False,True,False
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,2023-01-12,35.553267295389915,97.6021101430741,True,False,False,True
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,2023-01-12,35.553267295389915,97.6021101430741,True,False,True,True
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,2023-04-14,10.463869366079132,97.78270509977827,True,False,False,False
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,2023-04-14,10.463869366079132,97.78270509977827,True,False,False,True
